701000, 0.00804, 0.005
702000, 0.00783, 0.005
703000, 0.00782, 0.005
704000, 0.00726, 0.005
705000, 0.00756, 0.005
706000, 0.00728, 0.005
707000, 0.00721, 0.005
708000, 0.00749, 0.005
709000, 0.00714, 0.005
710000, 0.00710, 0.005
711000, 0.00901, 0.02
712000, 0.00891, 0.02
713000, 0.00869, 0.02
714000, 0.00840, 0.02
715000, 0.00857, 0.02
716000, 0.00826, 0.02
717000, 0.00828, 0.02
718000, 0.00785, 0.02
719000, 0.00789, 0.02
720000, 0.00786, 0.02
721000, 0.00763, 0.02
722000, 0.00753, 0.02
723000, 0.00736, 0.02
724000, 0.00736, 0.02
725000, 0.00747, 0.02
726000, 0.00774, 0.02
727000, 0.00723, 0.02
728000, 0.00705, 0.02
729000, 0.00714, 0.02
730000, 0.00710, 0.02
731000, 0.00733, 0.02
732000, 0.00714, 0.02
733000, 0.00721, 0.02
734000, 0.00716, 0.02
735000, 0.00695, 0.02
736000, 0.00676, 0.02
737000, 0.00674, 0.02
738000, 0.00659, 0.02
739000, 0.00671, 0.02
740000, 0.00643, 0.02
741000, 0.00679, 0.02
742000, 0.00670, 0.02
743000, 0.00665, 0.02
744000, 0.00684, 0.02
745000, 0.00635, 0.02
746000, 0.00634, 0.02
747000, 0.00620, 0.02
748000, 0.00640, 0.02
749000, 0.00655, 0.02
750000, 0.00616, 0.02
751000, 0.00635, 0.02
752000, 0.00626, 0.02
753000, 0.00620, 0.02
754000, 0.00615, 0.02
755000, 0.00619, 0.02
756000, 0.00630, 0.02
757000, 0.00597, 0.02
758000, 0.00622, 0.02
759000, 0.00592, 0.02
760000, 0.00597, 0.02
761000, 0.00606, 0.02
762000, 0.00602, 0.02
763000, 0.00594, 0.02
764000, 0.00592, 0.02
765000, 0.00593, 0.02
766000, 0.00599, 0.02
767000, 0.00572, 0.02
768000, 0.00570, 0.02
769000, 0.00555, 0.02
770000, 0.00585, 0.02
771000, 0.00541, 0.02
772000, 0.00559, 0.02
773000, 0.00552, 0.02
774000, 0.00576, 0.02
775000, 0.00558, 0.02
776000, 0.00558, 0.02
777000, 0.00563, 0.02
778000, 0.00568, 0.02
779000, 0.00551, 0.02
780000, 0.00533, 0.02
781000, 0.00565, 0.02
782000, 0.00542, 0.02
783000, 0.00540, 0.02
784000, 0.00536, 0.02
785000, 0.00538, 0.02
786000, 0.00522, 0.02
787000, 0.00529, 0.02
788000, 0.00543, 0.02
789000, 0.00552, 0.02
790000, 0.00521, 0.02
791000, 0.00527, 0.02
792000, 0.00532, 0.02
793000, 0.00532, 0.02
794000, 0.00502, 0.02
795000, 0.00520, 0.02
796000, 0.00504, 0.02
797000, 0.00526, 0.02
798000, 0.00510, 0.02
799000, 0.00521, 0.02
800000, 0.00513, 0.02
801000, 0.00504, 0.02
